大模型,提问次数,推荐次数,前三名次数,第一名次数,推荐率,前三率,置顶率,week,推荐率环比,前三率环比,置顶率环比
doubao,631,241,62,9,0.38193343898573695,0.098256735340729,0.014263074484944533,Week7,,,
tongyi,713,666,529,174,0.9340813464235624,0.7419354838709677,0.24403927068723702,Week7,,,
yuanbao,622,286,136,69,0.45980707395498394,0.21864951768488747,0.11093247588424437,Week7,,,
doubao,627,274,77,17,0.4370015948963317,0.12280701754385964,0.02711323763955343,Week8,14.42,24.99,90.09
tongyi,805,784,593,326,0.9739130434782609,0.7366459627329193,0.4049689440993789,Week8,4.26,-0.71,65.94
yuanbao,567,240,165,107,0.42328042328042326,0.291005291005291,0.18871252204585537,Week8,-7.94,33.09,70.11
