品牌,产品,大模型,意图问题,时间_week,week_no,聚合方式,提问次数,推荐次数,第一名次数,前三名次数,推荐率,推荐率_环比,前三率,前三率_环比,置顶率,置顶率_环比,总引用文章篇次,我司发布文章总引用篇次,总引用文章篇数,我司发布文章总引用篇数,正文引用文章篇次,我司发布文章正文引用篇次,正文引用文章篇数,我司发布文章正文引用篇数,我司正文引用占比（次数口径）,我司正文引用占比（篇数口径）
松下,松下,doubao,受损发质吹风机推荐,Week0,0,weekly,298,285,65,245,95.64%,——,82.21%,——,21.81%,——,6573,0,2142,0,485,0,140,0,0.0%,0.0%
松下,松下,tongyi,受损发质吹风机推荐,Week0,0,weekly,1050,1045,938,1035,99.52%,——,98.57%,——,89.33%,——,19268,0,569,0,6177,0,323,0,0.0%,0.0%
松下,松下,doubao,受损发质吹风机推荐,Week1,1,weekly,290,290,167,276,100.0%,4.56%,95.17%,15.76%,57.59%,164.01%,6227,635,1952,52,438,43,130,11,9.82%,8.46%
松下,松下,tongyi,受损发质吹风机推荐,Week1,1,weekly,1406,1403,1390,1403,99.79%,0.26%,99.79%,1.23%,98.86%,10.67%,26099,3879,608,44,7633,2732,289,33,35.79%,11.42%
