品牌,产品,大模型,意图问题,时间_week,week_no,聚合方式,提问次数,推荐次数,第一名次数,前三名次数,推荐率,推荐率_环比,前三率,前三率_环比,置顶率,置顶率_环比,总引用文章篇次,我司发布文章总引用篇次,总引用文章篇数,我司发布文章总引用篇数,正文引用文章篇次,我司发布文章正文引用篇次,正文引用文章篇数,我司发布文章正文引用篇数,我司正文引用占比（次数口径）,我司正文引用占比（篇数口径）
松下,松下,doubao,日常护发吹风机推荐,Week0,0,weekly,291,285,26,118,97.94%,——,40.55%,——,8.93%,——,6438,0,1922,0,425,0,93,0,0.00%,0.00%
松下,松下,tongyi,日常护发吹风机推荐,Week0,0,weekly,1049,1047,761,1035,99.81%,——,98.67%,——,72.55%,——,19055,0,431,0,6680,0,204,0,0.00%,0.00%
松下,松下,doubao,日常护发吹风机推荐,Week1,1,weekly,293,292,34,177,99.66%,1.76%,60.41%,48.98%,11.60%,29.88%,6521,355,2083,43,421,50,111,9,11.88%,8.11%
松下,松下,tongyi,日常护发吹风机推荐,Week1,1,weekly,1399,1399,1371,1398,100.00%,0.19%,99.93%,1.28%,98.00%,35.09%,25997,3368,364,40,8373,2250,188,37,26.87%,19.68%
